새우방공지,심볼,상장거래소,판매거래소,,,,,감지종류
2018.03.07 6:05:02,BTCP/BTC,Bittrex,,,,,,
2018.03.07 11:42:23,OKDKBTC,OKEx,,,,,,
2018.03.07 16:34:20,DADI/BTC,OKEx,Kucoin,Gate.io ,,,,
2018.03.08 14:30:21,ONT/BTC,Binance,,,,,,
2018.03.09 3:57:52,LRC/BTC ,Bittrex,Binance,OKEx,Gate.io,HitBTC,,
2018.03.09 4:28:10,LRC/BTC ,Upbit,Binance,OKEx,Gate.io,HitBTC,Bittrex,
2018.03.09 13:19:29,ENJ/BTC,OKEx,Binance,Kucoin,HitBTC,,,
2018.03.12 14:47:42,STORM/BTC,Binance,HitBTC,,,,,
2018.03.13 16:15:48,ONT/BTC,OKEx,Huobi,Binance,Gate.io,,,
2018.03.16 7:18:46,RVR/BTC,Bittrex,,,,,,
2018.03.19 16:07:42,QTUM/USDT,Binance,,,,,,
2018.03.19 18:28:52,ZLA/BTC,Binance,Huobi ,,,,,
2018.03.20 15:00:42,XEM/BTC,Binance,Bittrex,Upbit,Huobi,HitBTC,OKEx,
2018.03.21 7:27:38,UP/BTC,Bittrex,,,,,,
2018.03.21 9:05:16,UP/BTC,Upbit,Bittrex,,,,,
2018.03.21 16:30:14,ICX/BTC,Bithumb PRO,,,,,,
2018.03.22 18:22:52,EOS/BTC,Upbit,Bithumb,Huobi,OKEx,Binance,,
2018.03.23 10:14:15,ICX/BTC,Upbit,Binance,Huobi,OKEx,Gate.io,HitBTC,
2018.03.23 11:47:13,WAN/BTC,Binance,,,,,,
2018.03.23 22:24:24,STORM/BTC,Binance,HitBTC,,,,,
2018.03.26 17:38:56,QLC/BTC,Binance, Kucoin,Gate.Io,,,,
2018.03.26 23:40:06,ACAT/BTC,Bibox,Kucoin,,,,,
2018.03.28 2:19:20,DMT/BTC,Bittrex,,,,,,
2018.03.28 2:25:05,DMT/BTC,Upbit,Bittrex,,,,,
2018.03.28 17:06:09,SYS/BTC,Binance,Bittrex,Upbit,,,,
2018.03.29 15:06:22,WPR/BTC,Binance,Huobi,,,,,
2018.03.30 2:09:05,IPSX/BTC,Bibox,IPSX,,,,,
2018.04.01 22:55:54, BOT/BTC,Bibox,Gate.io,,,,,
2018.04.02 15:31:07,BTS/BTC,Huobi,Binance,Gate.io,,,,
2018.04.02 17:45:21,VEN/BTC,Bithumb PRO,Binance,Huobi,Gate.io,HitBTC,,
2018.04.03 10:48:07,VEN/BTC,Bithumb,Binance,Huobi,Gate.io,HitBTC,,
2018.04.03 16:50:19,LUN/BTC,Upbit,Huobi,Binance,Bittrex,Gate.io,HitBTC,
2018.04.04 11:51:07,POA/BTC,Bibox,Binance,,,,,
2018.04.04 18:05:02,GRS/BTC,Binance,Upbit,Bittrex,,,,
2018.04.05 14:47:10,TRX/BTC,Bithumb,Binance,Upbit,Bittrex,Huobi,OKEx,
2018.04.05 15:06:21,TRX/BTC,Bithumb PRO,Binance,Upbit,Bittrex,Huobi,OKEx,
2018.04.05 16:24:13,TRX/BTC,Upbit,Binance,Bittrex,Huobi,OKEx,,
2018.04.08 0:42:05,CFI/BTC,Bitfinex,Bittrex,Upbit,HitBTC,,,
2018.04.08 0:42:28,AGI/BTC,Bitfinex,Kucoin,,,,,
2018.04.08 0:42:33,DAI/USDT,Bitfinex,Gate.io,Bibox ,,,,
2018.04.08 0:42:38,RDN/BTC,Bitfinex,Huobi,Binance,Gate.io,OKEx,,
2018.04.08 0:42:42,BFT/USDT,Bitfinex,Gate.io,,,,,
2018.04.08 0:42:47,REQ/BTC,Bitfinex,Huobi ,Binance,Kucoin,Gate.io,OKEx,
2018.04.08 0:42:50,MTN/BTC,Bitfinex,Huobi,Kucoin,Gate.io,,,
2018.04.08 0:42:57,LRC/BTC,Bitfinex,Binance ,OKEx,Gate.io,Bittrex,Upbit,
2018.04.09 13:00:07,KNC/ETH,Huobi,,,,,,
2018.04.09 15:00:09,ONT/USDT,Huobi,,,,,,
2018.04.10 1:15:56,POLY/BTC,Bittrex,Kucoin,,,,,
2018.04.10 2:41:25,POLY/BTC,Upbit,Kucoin,Bittrex,,,,
2018.04.10 13:00:05,AST/ETH,Huobi,,,,,,
2018.04.11 13:00:23,ZRX/ETH,Huobi,,,,,,
2018.04.12 15:01:41,MITH/BTC,Bithumb,OKEx ,,,,,
2018.04.12 15:01:41,ELF/BTC,Bithumb,Binance,Huobi,OKEx,,,
2018.04.13 17:57:58,GNT/BTC,Upbit,Huobi,Bittrex,,,,
2018.04.15 13:00:34,BTS/USDT,Huobi,,,,,,
2018.04.16 15:30:22,ADA/BTC,Huobi,Upbit ,Binance,Bittrex,,,
2018.04.18 13:04:21,BTM/USDT,Huobi,,,,,,
2018.04.18 15:21:06,CLOAK/BTC,Binance,Bittrex,Upbit  ,,,,
2018.04.18 18:00:09,EMC/BTC,Upbit,HitBTC,Bittrex,,,,
2018.04.19 13:57:51, MCO/BTC,Bithumb,Binance,Huobi ,,,,
2018.04.19 14:00:20, MCO/BTC,Bithumb PRO,Binance,Huobi ,Bittrex,Upbit,OKEx ,
2018.04.19 14:38:20, MCO/BTC,Upbit,Binance,Huobi ,Bittrex,Upbit,OKEx ,
2018.04.20 3:07:51,PROPY/BTC,Bittrex,Huobi ,HitBTC,,,,
2018.04.20 6:04:22,PROPY/BTC,Upbit,Bittrex,Huobi ,HitBTC,,,
2018.04.23 13:00:31, ACT/USDT,Huobi,,,,,,
2018.04.24 15:00:05,CTXC/USDT,Huobi,,,,,,
2018.04.25 14:00:04,Steem/BTC,Huobi,Upbit,Binance,Bittrex,HitBTC,,
2018.04.26 13:57:50,OMG/BTC,Bithumb PRO,Binance,Huobi ,Upbit,Bittrex,,
2018.04.26 15:04:37,KNC/BTC,Bithumb PRO,,,,,,
2018.04.26 17:42:52,SC/BTC,Upbit,Bittrex ,,,,,
2018.04.26 18:39:58,ANT/BTC,Bittrex,Upbit ,HitBTC,,,,
2018.04.27 15:37:06,GNT/BTC,Binance,Upbit,Huobi ,Bittrex,OKEx,,
2018.04.27 17:10:26,GTO/BTC ,Upbit,Binance,OKEx,,,,
2018.04.28 11:49:09,DADI/BTC,Okex,Kucoin,Gate.io,HitBTC,,,
2018.04.28 12:06:12,CTXC/BTC,Okex,Huobi ,,,,,
2018.05.01 16:53:19,IGNIS/BTC,Upbit,Bittrex ,HitBTC,,,,
2018.05.01 18:21:50,BCI/BTC,Bitfinex,,,,,,지갑
2018.05.01 18:22:43,XVG/BTC,Bitfinex,Binance,Upbit,Bittrex,HitBTC,,
2018.05.01 18:24:33,XLM/BTC,Bitfinex,Binance,Upbit,Bittrex,OKEx,,
2018.05.02 15:24:28,LOOM/BTC,Binance,Kucoin,,,,,
2018.05.02 22:00:54,EOS/USDT,Bibox,Upbit,Bithumb,Huobi,OKEx,Binance,
2018.05.03 10:03:57,ONT/BTC,Upbit,Binance,OKEx,Huobi,Gate.io,,
2018.05.03 12:00:54,WAN/BTC,Huobi ,Binance,Kucoin,,,,
2018.05.03 13:00:49,HSR/BTC,Bithumb,OKEx,Binance,Huobi,Gate.io ,,
2018.05.03 13:00:49,GNT/BTC,Bithumb,Upbit,Binance,Huobi,Bittrex,,
2018.05.04 15:13:16,DCR/BTC,Upbit,Bittrex,Upbit,,,,
2018.05.08 16:20:12, ZIL/BTC,Okex,Binance,Huobi,Gate.io,,,
2018.05.10 8:57:57,ZIL/BTC,Bithumb,Binance,Huobi,Gate.io,Kucoin,Okex,
2018.05.10 10:18:12,ZIL/BTC,Upbit,Binance,Huobi,Gate.io,Kucoin,Okex,
2018.05.10 11:00:46,ZIL/BTC,Bithumb PRO,Binance,Huobi,Gate.io,Kucoin,Upbit,
2018.05.10 19:15:35, MKR/BTC,Bitfinex,OKEx ,Gate.io,,,,
2018.05.10 19:16:06,VET/BTC,Bitfinex,Binance,Bithumb,Huobi,Gate.io,,
2018.05.10 19:18:49,POA/BTC,Bitfinex,Binance,,,,,
2018.05.11 15:58:58,REP/BTC,Binance,Bittrex,Upbit,,,,
2018.05.16 2:02:01,STORM/BTC,Bittrex,Upbit,Binance,HitBTC,,,
2018.05.16 16:35:23,TUSD/BTC,Binance,Bittrex,Upbit,,,,
2018.05.16 13:29:59,LRC/BTC,Bithumb PRO,OKEx,Binance,Gate.io,Bittrex ,,
2018.05.16 13:29:59,GTO/BTC,Bithumb PRO,Upbit ,Binance,OKEx,,,
2018.05.16 13:29:59,PAY/BTC,Bithumb PRO,Bittrex,Huobi,Upbit,OKEx,,
2018.05.16 13:29:59,POWR/BTC,Bithumb PRO,Binance,Upbit,Bittrex,Huobi,,
2018.05.16 13:29:59,WAX/BTC,Bithumb PRO,Huobi,Bittrex,Upbit,Kucoin,HitBTC,
2018.05.18 1:48:46,AID/BTC,Bittrex,Ethfinex,,,,,
2018.05.18 2:58:44,AID/BTC,Upbit,Bittrex,Ethfinex,,,,
